,user,time,location,text
77,RosaMit62280174,2020-10-01 14:44:43,"Elkhart, KS","RT @CheriJacobus: Remember this? Trump's Proud Boys:
""Among those waiting outside were Stone supporters like alt-right and political commen…"
78,Swiftpfote,2020-10-01 14:44:23,,"RT @CheriJacobus: Remember this? Trump's Proud Boys:
""Among those waiting outside were Stone supporters like alt-right and political commen…"
79,teehee77571618,2020-10-01 14:43:47,,"RT @CheriJacobus: Remember this? Trump's Proud Boys:
""Among those waiting outside were Stone supporters like alt-right and political commen…"
80,Jhowardnye,2020-10-01 14:43:41, Chicago ,"RT @CheriJacobus: Remember this? Trump's Proud Boys:
""Among those waiting outside were Stone supporters like alt-right and political commen…"
81,watts_judi,2020-10-01 14:43:39,,"RT @CheriJacobus: Remember this? Trump's Proud Boys:
""Among those waiting outside were Stone supporters like alt-right and political commen…"
82,meshelle_phifer,2020-10-01 14:42:54,,"RT @CheriJacobus: Remember this? Trump's Proud Boys:
""Among those waiting outside were Stone supporters like alt-right and political commen…"
83,seltzrcatz,2020-10-01 14:42:52,,"RT @CheriJacobus: Remember this? Trump's Proud Boys:
""Among those waiting outside were Stone supporters like alt-right and political commen…"
84,FloridaUteFan,2020-10-01 14:42:48,Florida by way of Utah,@CKSchone I spent several hours in the ER and drained 3 IV bags after getting food poisoning at JJ back in 2009. It… https://t.co/x0AJhzETyQ
85,kumaichi523,2020-10-01 14:42:40,,"RT @CheriJacobus: Remember this? Trump's Proud Boys:
""Among those waiting outside were Stone supporters like alt-right and political commen…"
86,Juicydee1,2020-10-01 14:42:36,Staten island,"RT @CheriJacobus: Remember this? Trump's Proud Boys:
""Among those waiting outside were Stone supporters like alt-right and political commen…"
87,kevteljeur,2020-10-01 14:42:15,Dublin,"This alone isn't all, but... between this and the truly dreadful 'pie' that I made, and all the other things, it's… https://t.co/Fx7Hzoek0M"
88,melsonite,2020-10-01 14:42:05,,"RT @CheriJacobus: Remember this? Trump's Proud Boys:
""Among those waiting outside were Stone supporters like alt-right and political commen…"
89,kitschburgh,2020-10-01 14:41:59,pittsburgh,"RT @CheriJacobus: Remember this? Trump's Proud Boys:
""Among those waiting outside were Stone supporters like alt-right and political commen…"
90,SvechLuft,2020-10-01 14:41:56,Eastern Blok,"@Nova_marigold Oh no, Nova preg

Or perhaps just food poisoning or something else :p"
91,etina42,2020-10-01 14:41:47,"Seymour, tn","RT @CheriJacobus: Remember this? Trump's Proud Boys:
""Among those waiting outside were Stone supporters like alt-right and political commen…"
92,emzyesque,2020-10-01 14:41:33,Glasgow,Food poisoning sucks 😭
93,Chilhon2016Lap,2020-10-01 14:41:32,"Maryland, USA",RT @ElizaaCom: Got better 🥰 after food poisoning 😔 https://t.co/OoScaykmJN
94,gratifymenow,2020-10-01 14:41:30,"Manchester, England",@Mikexylophone @Nigel_Farage This one is likely to give us food poisoning and with Covid19 using up the resources o… https://t.co/ftT4HhKsi5
95,PolliMo4,2020-10-01 14:41:29,Over The Road Trucker,"RT @CheriJacobus: Remember this? Trump's Proud Boys:
""Among those waiting outside were Stone supporters like alt-right and political commen…"
96,rolandsmartin,2020-10-01 14:41:11,"Washington, D.C.","RT @CheriJacobus: Remember this? Trump's Proud Boys:
""Among those waiting outside were Stone supporters like alt-right and political commen…"
97,BistodeauJim,2020-10-01 14:41:11,"Oregon, USA","RT @CheriJacobus: Remember this? Trump's Proud Boys:
""Among those waiting outside were Stone supporters like alt-right and political commen…"
98,liziaroto,2020-10-01 14:41:08,United States,"RT @CheriJacobus: Remember this? Trump's Proud Boys:
""Among those waiting outside were Stone supporters like alt-right and political commen…"
99,marcbauerCC,2020-10-01 14:41:00,,"RT @CheriJacobus: Remember this? Trump's Proud Boys:
""Among those waiting outside were Stone supporters like alt-right and political commen…"
